"rent_station_name","rent_station_no","cnt_day","cnt_per_day","return_rate","bw_rate","weekend_rate","avg_distance","avg_used_time","avg_user_age","morning_ratio","evening_ratio","peak_ratio","variance_norm","entropy"
성수사거리 버스정류장 앞,514,365,81.7041095890411,1.0127758030983838,0.03832740929515123,0.0937227550130776,1893.3161944202297,20.26041177654081,34.449594483407125,0.17088055797733215,0.21054925893635568,0.12071624974850781,0.0008485767478709,2.929581522052111
등촌1-10단지 교차로,2721,365,152.6767123287671,0.9816785400254814,0.040465124625405996,0.09408365783193066,1339.9725967663737,11.425556731925278,33.79372341107809,0.2821253611355357,0.21364868017298616,0.13923232903260538,0.0009772028854385,2.930875404655888
가산디지털단지 9번출구 인근,1851,365,81.58082191780822,0.9950633038922658,0.042213789166134934,0.0707928938442422,2113.511953857006,16.408368875306444,40.32236335642802,0.2966383450314001,0.2596634986734728,0.15192934143802264,0.001705978269537333,2.733410719488207
코스트코 상봉점,1448,365,61.484931506849314,1.0206755191159433,0.02851795740130113,0.1502094287496658,1926.3881329649762,18.117592014971926,37.641933287950984,0.07343374030835041,0.23313430175563676,0.08992068443097763,0.0005798022911881,3.0040294903768183
신길역3번출구,258,364,55.27472527472528,1.0131709741550696,0.038518886679920476,0.10427435387673956,1620.5661853876736,17.522763419483102,34.19827229158038,0.3624254473161034,0.1974155069582505,0.18111332007952285,0.001658680222069395,2.7684069252605967
목동현대아파트 후문 앞,4532,365,50.47123287671233,0.991640429920747,0.04044077733145152,0.133156009119531,1850.2629600477674,17.135761589403973,35.20293708064312,0.1971012919335577,0.17603951796764739,0.08381283248290088,0.0004175232773971,3.0329369964280324
KT플라자 영등포점,296,365,82.8054794520548,0.9576826363155109,0.03338406564319746,0.11557040762308099,1560.7207563525674,17.006253308628903,35.1959659652055,0.22763366860772893,0.2127779248279513,0.10121095817893065,0.0006491586566943,2.9786707145938833
서울남부출입국관리소,3758,365,66.44931506849315,0.6727962397954976,0.044693658777933534,0.09672631318545395,1085.9815704626033,10.126412138204008,35.7625427731457,0.2557928589098705,0.1493361919683351,0.09136637255710399,0.0006575835810867,2.959481551460596
천호역효성해링턴타워 앞,1012,365,82.61369863013698,1.0017576440936526,0.03810439742654374,0.12363202228560058,1716.3979717450397,17.84138091132188,33.898597344305216,0.1280095509716787,0.25160841016117264,0.09166279763878755,0.0005828113821442,3.0001367211470322
헬스케어,1605,365,34.5972602739726,1.1227431105479886,0.029695913842255305,0.13026607538802662,2690.6256279695913,21.568498574596134,38.380773672055426,0.12987012987012986,0.2097719353816915,0.09803611023123218,0.0005650468140183,3.007945222235069
